Date,Discharge(m3/s),runoff(mm/day),runoff(mm/day)_815km2
1/1/1976,5.89,0.625948339,0.62441227
1/2/1976,5.66,0.601505535,0.600029448
1/3/1976,5.66,0.601505535,0.600029448
1/4/1976,5.43,0.577062731,0.575646626
1/5/1976,5.43,0.577062731,0.575646626
1/6/1976,5.43,0.577062731,0.575646626
1/7/1976,5.43,0.577062731,0.575646626
1/8/1976,5.43,0.577062731,0.575646626
1/9/1976,5.43,0.577062731,0.575646626
1/10/1976,5.43,0.577062731,0.575646626
1/11/1976,5.43,0.577062731,0.575646626
1/12/1976,5.43,0.577062731,0.575646626
1/13/1976,5.43,0.577062731,0.575646626
1/14/1976,5.43,0.577062731,0.575646626
1/15/1976,5.43,0.577062731,0.575646626
1/16/1976,5.2,0.552619926,0.551263804
1/17/1976,5.2,0.552619926,0.551263804
1/18/1976,5.2,0.552619926,0.551263804
1/19/1976,5.2,0.552619926,0.551263804
1/20/1976,5.2,0.552619926,0.551263804
1/21/1976,5.2,0.552619926,0.551263804
1/22/1976,5.2,0.552619926,0.551263804
1/23/1976,5.04,0.535616236,0.53430184
1/24/1976,5.04,0.535616236,0.53430184
1/25/1976,5.04,0.535616236,0.53430184
1/26/1976,5.04,0.535616236,0.53430184
1/27/1976,5.04,0.535616236,0.53430184
1/28/1976,4.88,0.518612546,0.517339877
1/29/1976,4.88,0.518612546,0.517339877
1/30/1976,4.88,0.518612546,0.517339877
1/31/1976,4.88,0.518612546,0.517339877
2/1/1976,4.72,0.501608856,0.500377914
2/2/1976,4.72,0.501608856,0.500377914
2/3/1976,4.72,0.501608856,0.500377914
2/4/1976,4.72,0.501608856,0.500377914
2/5/1976,4.72,0.501608856,0.500377914
2/6/1976,4.72,0.501608856,0.500377914
2/7/1976,4.56,0.484605166,0.483415951
2/8/1976,4.56,0.484605166,0.483415951
2/9/1976,4.56,0.484605166,0.483415951
2/10/1976,4.56,0.484605166,0.483415951
2/11/1976,4.56,0.484605166,0.483415951
2/12/1976,4.4,0.467601476,0.466453988
2/13/1976,4.4,0.467601476,0.466453988
2/14/1976,4.4,0.467601476,0.466453988
2/15/1976,4.4,0.467601476,0.466453988
2/16/1976,4.4,0.467601476,0.466453988
2/17/1976,4.4,0.467601476,0.466453988
2/18/1976,4.88,0.518612546,0.517339877
2/19/1976,4.88,0.518612546,0.517339877
2/20/1976,4.88,0.518612546,0.517339877
2/21/1976,4.72,0.501608856,0.500377914
2/22/1976,4.88,0.518612546,0.517339877
2/23/1976,4.56,0.484605166,0.483415951
2/24/1976,4.56,0.484605166,0.483415951
2/25/1976,4.08,0.433594096,0.432530061
2/26/1976,4.08,0.433594096,0.432530061
2/27/1976,4.08,0.433594096,0.432530061
2/28/1976,3.92,0.416590406,0.415568098
2/29/1976,3.92,0.416590406,0.415568098
3/1/1976,3.76,0.399586716,0.398606135
3/2/1976,3.6,0.382583026,0.381644172
3/3/1976,3.6,0.382583026,0.381644172
3/4/1976,3.6,0.382583026,0.381644172
3/5/1976,3.6,0.382583026,0.381644172
3/6/1976,3.6,0.382583026,0.381644172
3/7/1976,3.45,0.366642066,0.365742331
3/8/1976,3.3,0.350701107,0.349840491
3/9/1976,3.3,0.350701107,0.349840491
3/10/1976,3.15,0.334760148,0.33393865
3/11/1976,3,0.318819188,0.31803681
3/12/1976,3,0.318819188,0.31803681
3/13/1976,3,0.318819188,0.31803681
3/14/1976,3,0.318819188,0.31803681
3/15/1976,3.15,0.334760148,0.33393865
3/16/1976,3,0.318819188,0.31803681
3/17/1976,3.3,0.350701107,0.349840491
3/18/1976,3.3,0.350701107,0.349840491
3/19/1976,3.3,0.350701107,0.349840491
3/20/1976,3.15,0.334760148,0.33393865
3/21/1976,3.15,0.334760148,0.33393865
